Name,Latitude,Longitude
JFSB,40.248448,-111.651202
JKB,40.250233,-111.650004
TMCB,40.249537,-111.650876
ASB,40.2509,-111.649235
MOA,40.250801,-111.647942
HFAC,40.250009,-111.648103
HBLL,40.248825,-111.649217
WSC,40.248577,-111.647202
MARB,40.246866,-111.649239
ESC,40.247159,-111.650277
SWKT,40.247403,-111.651035
MCKB,40.247257,-111.651882
BRMB,40.246281,-111.652269
HGB,40.245455,-111.652461
MSRB,40.245444,-111.653455
SFH,40.247414,-111.654578
SAB,40.248295,-111.655242
IPF,40.247291,-111.656877
TCB,40.24672,-111.653991
RB,40.248828,-111.653449
TNRB,40.250556,-111.652204
HC,40.251799,-111.651667
HRCB,40.24764,-111.649338
NICB,40.246578,-111.650094
BNSN,40.245929,-111.65085
JSB,40.24582,-111.651462
LSB,40.244879,-111.649258
MB,40.245793,-111.648538
EB,40.246245,-111.64771
CB,40.247101,-111.648076
CTB,40.247704,-111.646492
